id,location,fault_severity,event_type,severity_type,log_feature,volume,resource_type
9144,location 262,1,event_type 35,severity_type 2,feature 232,1,resource_type 2
17917,location 763,1,event_type 15,severity_type 2,feature 203,2,resource_type 8
15248,location 7,1,event_type 11,severity_type 1,feature 191,3,resource_type 8
3826,location 1107,0,event_type 15,severity_type 1,feature 71,9,resource_type 8
17835,location 378,1,event_type 34,severity_type 2,feature 227,1,resource_type 2
6321,location 1026,1,event_type 13,severity_type 1,feature 179,2,resource_type 6
12139,location 155,0,event_type 35,severity_type 2,feature 312,16,resource_type 2
6984,location 663,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
1226,location 891,0,event_type 11,severity_type 1,feature 73,6,resource_type 8
11127,location 921,1,event_type 15,severity_type 2,feature 203,1,resource_type 8
3174,location 157,0,event_type 35,severity_type 2,feature 312,12,resource_type 2
13040,location 742,0,event_type 15,severity_type 2,feature 201,1,resource_type 8
1805,location 118,0,event_type 35,severity_type 2,feature 312,19,resource_type 2
2903,location 1086,2,event_type 15,severity_type 2,feature 203,8,resource_type 8
10750,location 600,2,event_type 15,severity_type 2,feature 82,28,resource_type 8
11732,location 218,1,event_type 35,severity_type 2,feature 227,1,resource_type 2
11635,location 255,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
3769,location 1115,0,event_type 11,severity_type 1,feature 55,1,resource_type 8
334,location 627,0,event_type 22,severity_type 2,feature 75,2,resource_type 7
9079,location 814,0,event_type 11,severity_type 1,feature 70,5,resource_type 8
16427,location 480,0,event_type 34,severity_type 2,feature 230,26,resource_type 2
4816,location 906,1,event_type 11,severity_type 1,feature 202,4,resource_type 2
4211,location 19,1,event_type 11,severity_type 1,feature 55,1,resource_type 8
2292,location 773,0,event_type 11,severity_type 1,feature 82,2,resource_type 8
4962,location 122,0,event_type 34,severity_type 2,feature 233,7,resource_type 2
17606,location 925,0,event_type 11,severity_type 1,feature 170,40,resource_type 8
6744,location 1042,1,event_type 15,severity_type 2,feature 203,3,resource_type 8
6657,location 122,0,event_type 35,severity_type 2,feature 312,2,resource_type 2
2724,location 1092,0,event_type 11,severity_type 1,feature 68,1,resource_type 8
7385,location 1017,2,event_type 11,severity_type 1,feature 170,5,resource_type 8
15355,location 27,1,event_type 10,severity_type 5,feature 153,2,resource_type 3
15705,location 242,0,event_type 35,severity_type 2,feature 309,28,resource_type 2
17573,location 1042,2,event_type 11,severity_type 1,feature 82,24,resource_type 8
338,location 847,1,event_type 54,severity_type 4,feature 362,1,resource_type 2
16821,location 242,0,event_type 35,severity_type 2,feature 314,1,resource_type 2
13259,location 244,0,event_type 34,severity_type 2,feature 312,20,resource_type 2
120,location 462,0,event_type 35,severity_type 1,feature 301,3,resource_type 2
8074,location 471,0,event_type 35,severity_type 2,feature 312,4,resource_type 2
13171,location 818,1,event_type 11,severity_type 1,feature 54,2,resource_type 8
17229,location 871,0,event_type 20,severity_type 1,feature 134,2,resource_type 2
15252,location 810,0,event_type 15,severity_type 1,feature 71,3,resource_type 8
10229,location 839,0,event_type 11,severity_type 4,feature 170,14,resource_type 8
11582,location 424,1,event_type 34,severity_type 2,feature 312,1,resource_type 2
14922,location 230,0,event_type 11,severity_type 1,feature 160,1,resource_type 2
17599,location 794,1,event_type 14,severity_type 1,feature 223,2,resource_type 8
12524,location 721,0,event_type 11,severity_type 1,feature 170,1,resource_type 8
13984,location 684,1,event_type 15,severity_type 2,feature 203,1,resource_type 8
11499,location 894,0,event_type 42,severity_type 1,feature 283,2,resource_type 2
14731,location 744,1,event_type 11,severity_type 1,feature 170,3,resource_type 6
3104,location 704,0,event_type 15,severity_type 1,feature 203,17,resource_type 8
4634,location 157,0,event_type 34,severity_type 2,feature 232,12,resource_type 2
3257,location 523,0,event_type 35,severity_type 2,feature 232,1,resource_type 2
11411,location 936,1,event_type 13,severity_type 1,feature 273,1,resource_type 6
7861,location 1048,0,event_type 11,severity_type 1,feature 170,55,resource_type 8
4308,location 914,0,event_type 11,severity_type 1,feature 53,1,resource_type 8
1457,location 127,0,event_type 35,severity_type 2,feature 307,4,resource_type 2
11435,location 723,1,event_type 11,severity_type 1,feature 170,3,resource_type 8
7685,location 494,0,event_type 35,severity_type 2,feature 313,70,resource_type 2
13986,location 891,0,event_type 11,severity_type 1,feature 195,8,resource_type 8
9089,location 122,0,event_type 35,severity_type 2,feature 233,6,resource_type 2
17426,location 488,0,event_type 35,severity_type 2,feature 232,2,resource_type 2
5495,location 478,0,event_type 34,severity_type 2,feature 233,6,resource_type 2
2354,location 686,0,event_type 11,severity_type 1,feature 54,1,resource_type 8
9581,location 155,0,event_type 34,severity_type 2,feature 232,5,resource_type 2
12393,location 691,1,event_type 23,severity_type 2,feature 75,4,resource_type 7
1495,location 734,0,event_type 11,severity_type 1,feature 193,1,resource_type 8
1530,location 1052,0,event_type 15,severity_type 2,feature 80,1,resource_type 8
7794,location 918,1,event_type 11,severity_type 1,feature 209,2,resource_type 8
17672,location 798,0,event_type 15,severity_type 2,feature 82,18,resource_type 8
17077,location 627,1,event_type 11,severity_type 2,feature 222,1,resource_type 8
3248,location 130,0,event_type 35,severity_type 1,feature 134,1,resource_type 2
5887,location 672,0,event_type 11,severity_type 1,feature 55,2,resource_type 8
5255,location 599,0,event_type 15,severity_type 2,feature 52,2,resource_type 8
4876,location 891,0,event_type 11,severity_type 2,feature 73,4,resource_type 8
2925,location 755,1,event_type 11,severity_type 1,feature 45,1,resource_type 8
6800,location 769,2,event_type 11,severity_type 1,feature 54,12,resource_type 8
2375,location 1069,1,event_type 11,severity_type 1,feature 170,19,resource_type 8
12402,location 579,0,event_type 11,severity_type 2,feature 73,1,resource_type 8
13544,location 476,0,event_type 34,severity_type 2,feature 232,4,resource_type 2
364,location 148,0,event_type 34,severity_type 2,feature 232,1,resource_type 2
11845,location 845,2,event_type 15,severity_type 1,feature 82,5,resource_type 8
8351,location 707,0,event_type 26,severity_type 2,feature 71,4,resource_type 9
284,location 797,0,event_type 11,severity_type 1,feature 170,3,resource_type 8
2956,location 657,0,event_type 18,severity_type 1,feature 170,13,resource_type 8
6289,location 976,0,event_type 15,severity_type 2,feature 82,12,resource_type 8
8918,location 32,0,event_type 30,severity_type 1,feature 133,1,resource_type 9
12473,location 1019,2,event_type 15,severity_type 2,feature 82,21,resource_type 8
4314,location 549,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
4598,location 1100,2,event_type 11,severity_type 1,feature 82,33,resource_type 8
12944,location 1010,0,event_type 11,severity_type 2,feature 195,1,resource_type 8
10272,location 1075,0,event_type 15,severity_type 2,feature 203,3,resource_type 8
6689,location 102,0,event_type 34,severity_type 2,feature 230,5,resource_type 2
6116,location 353,1,event_type 34,severity_type 1,feature 117,2,resource_type 8
17973,location 794,0,event_type 23,severity_type 1,feature 47,3,resource_type 8
17041,location 1,1,event_type 11,severity_type 1,feature 111,2,resource_type 8
11119,location 1008,1,event_type 15,severity_type 2,feature 82,12,resource_type 8
10897,location 895,2,event_type 43,severity_type 1,feature 376,5,resource_type 2
11661,location 707,0,event_type 15,severity_type 2,feature 71,3,resource_type 9
13443,location 1049,0,event_type 11,severity_type 2,feature 195,1,resource_type 8
5895,location 95,0,event_type 34,severity_type 2,feature 312,15,resource_type 2
9488,location 823,0,event_type 11,severity_type 1,feature 193,5,resource_type 8
13,location 418,0,event_type 35,severity_type 2,feature 232,1,resource_type 2
14355,location 836,0,event_type 11,severity_type 1,feature 195,9,resource_type 8
2607,location 638,0,event_type 42,severity_type 1,feature 368,7,resource_type 2
5509,location 837,0,event_type 11,severity_type 1,feature 68,2,resource_type 8
5985,location 300,0,event_type 35,severity_type 2,feature 312,23,resource_type 2
5818,location 839,1,event_type 11,severity_type 1,feature 54,7,resource_type 8
11919,location 783,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
11051,location 984,1,event_type 13,severity_type 1,feature 179,1,resource_type 8
8034,location 573,1,event_type 20,severity_type 1,feature 219,1,resource_type 2
14319,location 410,0,event_type 34,severity_type 2,feature 315,1,resource_type 2
14284,location 147,0,event_type 35,severity_type 4,feature 312,3,resource_type 2
18050,location 1008,1,event_type 15,severity_type 2,feature 80,2,resource_type 8
9358,location 124,0,event_type 34,severity_type 2,feature 233,1,resource_type 2
9078,location 1042,2,event_type 15,severity_type 2,feature 82,8,resource_type 8
8409,location 497,0,event_type 34,severity_type 2,feature 312,2,resource_type 2
4139,location 469,0,event_type 35,severity_type 2,feature 230,2,resource_type 2
7980,location 845,1,event_type 15,severity_type 2,feature 82,12,resource_type 8
13713,location 350,1,event_type 35,severity_type 2,feature 232,1,resource_type 2
7606,location 1090,1,event_type 11,severity_type 1,feature 81,2,resource_type 8
9726,location 459,0,event_type 34,severity_type 2,feature 312,3,resource_type 2
9824,location 615,0,event_type 11,severity_type 1,feature 134,1,resource_type 2
9645,location 314,0,event_type 34,severity_type 2,feature 312,1,resource_type 2
10464,location 793,0,event_type 11,severity_type 1,feature 195,10,resource_type 8
7660,location 938,0,event_type 11,severity_type 2,feature 360,2,resource_type 8
1996,location 808,0,event_type 11,severity_type 1,feature 68,1,resource_type 8
11557,location 742,1,event_type 54,severity_type 4,feature 360,1,resource_type 2
6169,location 655,0,event_type 15,severity_type 1,feature 80,2,resource_type 8
13495,location 881,1,event_type 11,severity_type 1,feature 68,2,resource_type 6
4863,location 613,0,event_type 54,severity_type 1,feature 82,8,resource_type 8
6350,location 255,1,event_type 35,severity_type 1,feature 219,1,resource_type 2
7263,location 286,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
10593,location 102,0,event_type 34,severity_type 2,feature 315,2,resource_type 2
16214,location 474,0,event_type 35,severity_type 2,feature 235,1,resource_type 2
1671,location 738,0,event_type 15,severity_type 2,feature 193,1,resource_type 8
6106,location 497,0,event_type 34,severity_type 2,feature 308,21,resource_type 2
14737,location 798,2,event_type 15,severity_type 2,feature 203,26,resource_type 8
13254,location 919,1,event_type 11,severity_type 1,feature 81,4,resource_type 8
12743,location 734,0,event_type 11,severity_type 1,feature 193,2,resource_type 8
9866,location 496,0,event_type 35,severity_type 2,feature 233,61,resource_type 2
8816,location 962,0,event_type 15,severity_type 2,feature 80,1,resource_type 8
12568,location 110,0,event_type 35,severity_type 4,feature 301,2,resource_type 2
3340,location 344,0,event_type 35,severity_type 4,feature 312,2,resource_type 2
14095,location 382,0,event_type 34,severity_type 2,feature 312,2,resource_type 2
10882,location 704,1,event_type 15,severity_type 2,feature 82,38,resource_type 8
15185,location 470,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
13594,location 128,0,event_type 35,severity_type 2,feature 233,1,resource_type 2
8654,location 684,1,event_type 15,severity_type 2,feature 203,3,resource_type 8
12478,location 102,1,event_type 34,severity_type 2,feature 228,2,resource_type 2
6317,location 600,1,event_type 15,severity_type 2,feature 82,3,resource_type 8
16170,location 465,0,event_type 34,severity_type 2,feature 232,8,resource_type 2
1401,location 989,1,event_type 11,severity_type 1,feature 54,4,resource_type 8
5614,location 737,1,event_type 11,severity_type 2,feature 157,1,resource_type 8
4052,location 885,2,event_type 11,severity_type 2,feature 81,4,resource_type 8
18380,location 484,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
18191,location 834,2,event_type 15,severity_type 2,feature 203,24,resource_type 8
17776,location 557,0,event_type 54,severity_type 1,feature 359,6,resource_type 2
17625,location 976,0,event_type 15,severity_type 2,feature 82,12,resource_type 8
14989,location 469,0,event_type 34,severity_type 2,feature 315,8,resource_type 2
9808,location 1100,2,event_type 11,severity_type 1,feature 82,48,resource_type 8
11698,location 744,0,event_type 11,severity_type 1,feature 345,2,resource_type 6
8390,location 998,1,event_type 11,severity_type 1,feature 68,1,resource_type 8
17836,location 255,1,event_type 34,severity_type 2,feature 312,2,resource_type 2
1625,location 788,0,event_type 23,severity_type 4,feature 306,1,resource_type 7
10841,location 1053,1,event_type 11,severity_type 1,feature 80,8,resource_type 8
1258,location 757,1,event_type 11,severity_type 1,feature 54,1,resource_type 8
15242,location 181,0,event_type 35,severity_type 2,feature 312,5,resource_type 2
18254,location 468,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
11477,location 496,0,event_type 35,severity_type 2,feature 229,1,resource_type 2
2141,location 957,1,event_type 11,severity_type 1,feature 81,7,resource_type 8
17110,location 856,1,event_type 13,severity_type 1,feature 68,2,resource_type 6
18115,location 641,2,event_type 44,severity_type 1,feature 283,10,resource_type 2
306,location 895,1,event_type 44,severity_type 1,feature 291,4,resource_type 2
7882,location 823,0,event_type 11,severity_type 1,feature 196,1,resource_type 8
2057,location 126,0,event_type 34,severity_type 2,feature 232,8,resource_type 2
3299,location 381,0,event_type 34,severity_type 1,feature 219,6,resource_type 2
13128,location 268,0,event_type 35,severity_type 4,feature 301,1,resource_type 2
15439,location 810,2,event_type 15,severity_type 1,feature 203,4,resource_type 8
1310,location 836,0,event_type 11,severity_type 1,feature 195,7,resource_type 8
929,location 476,0,event_type 34,severity_type 2,feature 307,1,resource_type 2
4750,location 1107,2,event_type 15,severity_type 1,feature 71,14,resource_type 8
15558,location 618,0,event_type 40,severity_type 4,feature 10,1,resource_type 2
12107,location 690,0,event_type 11,severity_type 1,feature 81,6,resource_type 8
15547,location 794,0,event_type 14,severity_type 1,feature 47,1,resource_type 4
430,location 1100,1,event_type 15,severity_type 1,feature 71,2,resource_type 8
12605,location 149,0,event_type 34,severity_type 2,feature 227,1,resource_type 2
943,location 252,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
17288,location 116,0,event_type 35,severity_type 2,feature 232,4,resource_type 2
13955,location 1008,0,event_type 15,severity_type 1,feature 80,6,resource_type 8
9327,location 498,0,event_type 35,severity_type 2,feature 313,10,resource_type 2
16352,location 798,2,event_type 15,severity_type 2,feature 203,6,resource_type 8
5997,location 760,0,event_type 54,severity_type 4,feature 362,8,resource_type 2
11401,location 388,1,event_type 34,severity_type 1,feature 227,1,resource_type 2
9616,location 257,0,event_type 35,severity_type 2,feature 313,2,resource_type 2
2997,location 995,2,event_type 11,severity_type 1,feature 71,2,resource_type 8
3386,location 989,1,event_type 11,severity_type 1,feature 54,3,resource_type 8
16124,location 122,0,event_type 35,severity_type 2,feature 307,12,resource_type 2
15034,location 181,0,event_type 35,severity_type 1,feature 220,1,resource_type 2
9214,location 128,1,event_type 34,severity_type 2,feature 312,3,resource_type 2
16314,location 1052,1,event_type 15,severity_type 1,feature 82,5,resource_type 8
14321,location 500,0,event_type 34,severity_type 2,feature 235,1,resource_type 2
13901,location 830,0,event_type 11,severity_type 1,feature 170,125,resource_type 8
1214,location 270,1,event_type 35,severity_type 2,feature 312,1,resource_type 2
12095,location 471,0,event_type 35,severity_type 2,feature 313,11,resource_type 2
6463,location 149,1,event_type 35,severity_type 2,feature 233,1,resource_type 2
7157,location 476,0,event_type 34,severity_type 2,feature 312,1,resource_type 2
17283,location 995,1,event_type 15,severity_type 1,feature 80,4,resource_type 8
2015,location 944,0,event_type 32,severity_type 4,feature 280,3,resource_type 8
2807,location 451,0,event_type 35,severity_type 1,feature 221,1,resource_type 2
8618,location 450,0,event_type 34,severity_type 2,feature 312,5,resource_type 2
5444,location 1086,0,event_type 15,severity_type 2,feature 82,6,resource_type 8
15211,location 735,0,event_type 11,severity_type 2,feature 73,2,resource_type 8
4657,location 600,1,event_type 15,severity_type 2,feature 82,23,resource_type 8
788,location 481,1,event_type 21,severity_type 1,feature 220,1,resource_type 2
13112,location 976,0,event_type 15,severity_type 1,feature 203,13,resource_type 8
2940,location 666,0,event_type 11,severity_type 1,feature 171,8,resource_type 8
9936,location 260,1,event_type 35,severity_type 1,feature 301,2,resource_type 2
8663,location 957,0,event_type 11,severity_type 2,feature 191,1,resource_type 8
9163,location 710,0,event_type 11,severity_type 1,feature 73,1,resource_type 8
18409,location 810,2,event_type 15,severity_type 1,feature 82,14,resource_type 8
2571,location 892,0,event_type 44,severity_type 1,feature 378,37,resource_type 2
4274,location 962,2,event_type 15,severity_type 2,feature 82,32,resource_type 8
17470,location 1008,1,event_type 15,severity_type 2,feature 82,4,resource_type 8
12372,location 493,0,event_type 35,severity_type 2,feature 314,11,resource_type 2
2144,location 204,0,event_type 34,severity_type 2,feature 232,1,resource_type 2
9664,location 1,1,event_type 15,severity_type 2,feature 198,1,resource_type 8
18537,location 149,0,event_type 35,severity_type 4,feature 313,2,resource_type 2
6414,location 1050,0,event_type 13,severity_type 1,feature 273,1,resource_type 6
17153,location 488,0,event_type 35,severity_type 2,feature 314,2,resource_type 2
12722,location 95,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
14705,location 812,0,event_type 11,severity_type 1,feature 73,1,resource_type 8
16748,location 471,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
12407,location 899,1,event_type 42,severity_type 1,feature 376,4,resource_type 2
8489,location 583,0,event_type 20,severity_type 1,feature 134,2,resource_type 2
5312,location 242,0,event_type 34,severity_type 2,feature 229,28,resource_type 2
6583,location 504,0,event_type 34,severity_type 2,feature 232,1,resource_type 2
2963,location 962,2,event_type 15,severity_type 2,feature 203,17,resource_type 8
3160,location 318,1,event_type 34,severity_type 2,feature 232,1,resource_type 2
13220,location 89,1,event_type 35,severity_type 2,feature 312,11,resource_type 2
6020,location 1052,1,event_type 54,severity_type 1,feature 82,6,resource_type 8
2431,location 961,0,event_type 32,severity_type 1,feature 68,1,resource_type 8
15988,location 1107,0,event_type 11,severity_type 1,feature 71,12,resource_type 8
7564,location 303,1,event_type 34,severity_type 2,feature 312,1,resource_type 2
13028,location 478,0,event_type 34,severity_type 2,feature 308,3,resource_type 2
9882,location 506,0,event_type 34,severity_type 2,feature 311,1,resource_type 2
12494,location 469,0,event_type 35,severity_type 2,feature 312,45,resource_type 2
18443,location 1107,1,event_type 11,severity_type 1,feature 71,9,resource_type 8
9226,location 322,1,event_type 35,severity_type 2,feature 312,3,resource_type 2
8137,location 459,0,event_type 35,severity_type 2,feature 314,1,resource_type 2
16504,location 496,0,event_type 35,severity_type 2,feature 233,2,resource_type 2
11620,location 1061,0,event_type 15,severity_type 2,feature 82,14,resource_type 8
6051,location 1107,1,event_type 15,severity_type 1,feature 201,5,resource_type 8
4090,location 309,0,event_type 20,severity_type 1,feature 301,2,resource_type 2
13205,location 845,2,event_type 11,severity_type 1,feature 71,3,resource_type 8
12317,location 244,0,event_type 34,severity_type 2,feature 312,14,resource_type 2
2305,location 79,1,event_type 10,severity_type 1,feature 219,1,resource_type 9
9912,location 124,0,event_type 34,severity_type 2,feature 232,3,resource_type 2
15791,location 1099,0,event_type 11,severity_type 1,feature 202,15,resource_type 8
9146,location 896,0,event_type 43,severity_type 1,feature 378,1,resource_type 2
6962,location 437,1,event_type 20,severity_type 1,feature 312,10,resource_type 8
515,location 518,0,event_type 34,severity_type 2,feature 235,2,resource_type 2
4624,location 601,1,event_type 13,severity_type 1,feature 273,2,resource_type 6
13307,location 1094,1,event_type 6,severity_type 1,feature 64,1,resource_type 8
13533,location 891,0,event_type 11,severity_type 1,feature 195,22,resource_type 8
11483,location 1112,0,event_type 11,severity_type 1,feature 87,1,resource_type 8
17656,location 500,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
16188,location 282,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
4800,location 957,0,event_type 11,severity_type 2,feature 70,1,resource_type 8
7850,location 1121,1,event_type 20,severity_type 1,feature 134,1,resource_type 2
8696,location 760,0,event_type 54,severity_type 2,feature 54,1,resource_type 2
651,location 445,0,event_type 35,severity_type 2,feature 232,4,resource_type 2
14352,location 380,0,event_type 34,severity_type 2,feature 232,9,resource_type 2
3755,location 1037,0,event_type 11,severity_type 1,feature 170,16,resource_type 8
3690,location 330,1,event_type 35,severity_type 1,feature 301,1,resource_type 2
12625,location 826,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
7834,location 938,0,event_type 11,severity_type 2,feature 202,2,resource_type 8
8841,location 826,1,event_type 54,severity_type 4,feature 360,2,resource_type 2
7851,location 1008,2,event_type 15,severity_type 2,feature 82,56,resource_type 8
4004,location 292,1,event_type 34,severity_type 2,feature 233,3,resource_type 2
5669,location 390,1,event_type 11,severity_type 2,feature 307,1,resource_type 2
12198,location 1052,0,event_type 15,severity_type 1,feature 82,21,resource_type 8
17078,location 12,0,event_type 11,severity_type 1,feature 56,451,resource_type 8
15010,location 600,0,event_type 15,severity_type 2,feature 203,3,resource_type 8
4849,location 476,0,event_type 35,severity_type 2,feature 232,6,resource_type 2
6783,location 474,0,event_type 35,severity_type 2,feature 312,2,resource_type 2
6237,location 477,0,event_type 34,severity_type 2,feature 232,19,resource_type 2
18195,location 809,0,event_type 15,severity_type 1,feature 193,4,resource_type 8
11250,location 323,0,event_type 35,severity_type 2,feature 312,4,resource_type 2
9022,location 1111,0,event_type 11,severity_type 1,feature 170,1,resource_type 8
2879,location 313,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
10016,location 756,0,event_type 11,severity_type 1,feature 362,1,resource_type 2
18139,location 1072,2,event_type 11,severity_type 1,feature 81,8,resource_type 8
4345,location 179,0,event_type 34,severity_type 2,feature 232,38,resource_type 2
6577,location 760,1,event_type 11,severity_type 1,feature 85,1,resource_type 8
4169,location 704,1,event_type 15,severity_type 2,feature 193,1,resource_type 8
2066,location 495,0,event_type 35,severity_type 2,feature 312,26,resource_type 2
15064,location 473,0,event_type 34,severity_type 2,feature 235,2,resource_type 2
3517,location 519,0,event_type 34,severity_type 2,feature 232,4,resource_type 2
2460,location 445,0,event_type 34,severity_type 2,feature 232,7,resource_type 2
9539,location 520,0,event_type 35,severity_type 2,feature 313,2,resource_type 2
15996,location 16,1,event_type 11,severity_type 1,feature 54,3,resource_type 8
2123,location 989,1,event_type 11,severity_type 1,feature 1,1,resource_type 8
15017,location 1042,2,event_type 15,severity_type 2,feature 203,7,resource_type 8
9183,location 286,1,event_type 34,severity_type 2,feature 312,1,resource_type 2
8838,location 1051,1,event_type 11,severity_type 1,feature 170,2,resource_type 8
558,location 1092,1,event_type 11,severity_type 1,feature 170,4,resource_type 8
8597,location 405,1,event_type 34,severity_type 1,feature 219,1,resource_type 2
9929,location 504,0,event_type 35,severity_type 2,feature 312,12,resource_type 2
5296,location 484,0,event_type 35,severity_type 2,feature 315,3,resource_type 2
9425,location 763,2,event_type 15,severity_type 2,feature 71,3,resource_type 8
4717,location 778,1,event_type 15,severity_type 2,feature 82,2,resource_type 8
6344,location 1055,0,event_type 15,severity_type 2,feature 193,1,resource_type 8
5114,location 1061,0,event_type 15,severity_type 2,feature 82,6,resource_type 8
16605,location 702,0,event_type 11,severity_type 2,feature 87,1,resource_type 8
14975,location 646,1,event_type 20,severity_type 1,feature 134,1,resource_type 2
7556,location 470,0,event_type 20,severity_type 1,feature 312,1,resource_type 2
16789,location 932,0,event_type 15,severity_type 1,feature 80,1,resource_type 8
9537,location 921,0,event_type 15,severity_type 2,feature 82,2,resource_type 8
14260,location 445,0,event_type 35,severity_type 2,feature 232,1,resource_type 2
9524,location 646,0,event_type 11,severity_type 1,feature 80,4,resource_type 8
17429,location 155,0,event_type 34,severity_type 2,feature 232,11,resource_type 2
10723,location 286,1,event_type 11,severity_type 1,feature 181,1,resource_type 8
1876,location 891,0,event_type 11,severity_type 2,feature 55,1,resource_type 8
16734,location 298,0,event_type 35,severity_type 2,feature 307,5,resource_type 2
680,location 373,0,event_type 34,severity_type 2,feature 232,58,resource_type 2
10818,location 763,0,event_type 15,severity_type 2,feature 82,2,resource_type 8
15215,location 442,1,event_type 35,severity_type 2,feature 232,4,resource_type 2
9122,location 373,0,event_type 34,severity_type 2,feature 312,15,resource_type 2
10177,location 600,2,event_type 15,severity_type 2,feature 82,10,resource_type 8
5546,location 270,0,event_type 35,severity_type 4,feature 314,2,resource_type 2
11237,location 1052,1,event_type 15,severity_type 2,feature 203,3,resource_type 8
3379,location 1107,2,event_type 11,severity_type 1,feature 82,41,resource_type 8
13031,location 435,1,event_type 34,severity_type 2,feature 312,2,resource_type 2
15741,location 149,0,event_type 34,severity_type 2,feature 312,2,resource_type 2
12922,location 496,0,event_type 34,severity_type 2,feature 233,4,resource_type 2
12647,location 426,0,event_type 35,severity_type 4,feature 313,1,resource_type 2
3469,location 292,0,event_type 34,severity_type 2,feature 313,4,resource_type 2
2287,location 697,0,event_type 15,severity_type 2,feature 51,1,resource_type 8
7441,location 292,0,event_type 35,severity_type 2,feature 232,1,resource_type 2
10020,location 604,0,event_type 32,severity_type 4,feature 280,3,resource_type 8
6380,location 126,0,event_type 34,severity_type 2,feature 315,4,resource_type 2
5794,location 126,1,event_type 35,severity_type 2,feature 233,3,resource_type 2
16910,location 124,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
10533,location 163,0,event_type 11,severity_type 2,feature 181,1,resource_type 8
3122,location 653,0,event_type 15,severity_type 1,feature 82,10,resource_type 8
14158,location 902,0,event_type 23,severity_type 1,feature 197,6,resource_type 7
8950,location 1033,1,event_type 11,severity_type 1,feature 54,6,resource_type 8
6884,location 477,0,event_type 35,severity_type 2,feature 312,2,resource_type 2
2884,location 877,0,event_type 29,severity_type 1,feature 276,4,resource_type 9
4811,location 497,0,event_type 34,severity_type 2,feature 232,1,resource_type 2
2525,location 469,0,event_type 20,severity_type 1,feature 301,1,resource_type 2
10574,location 600,1,event_type 15,severity_type 2,feature 82,28,resource_type 8
14872,location 978,1,event_type 15,severity_type 2,feature 80,1,resource_type 8
13590,location 1052,1,event_type 54,severity_type 1,feature 203,2,resource_type 8
10760,location 95,0,event_type 35,severity_type 2,feature 310,3,resource_type 2
6999,location 491,0,event_type 34,severity_type 2,feature 312,1,resource_type 2
12504,location 802,1,event_type 13,severity_type 1,feature 273,1,resource_type 8
17454,location 793,0,event_type 11,severity_type 1,feature 195,8,resource_type 8
11284,location 707,0,event_type 15,severity_type 2,feature 71,5,resource_type 8
4548,location 814,0,event_type 11,severity_type 2,feature 70,3,resource_type 8
9345,location 931,0,event_type 15,severity_type 1,feature 80,13,resource_type 8
4259,location 124,0,event_type 34,severity_type 2,feature 233,5,resource_type 2
10630,location 147,0,event_type 34,severity_type 2,feature 313,1,resource_type 2
11497,location 1075,1,event_type 15,severity_type 2,feature 82,10,resource_type 8
2626,location 1112,0,event_type 11,severity_type 1,feature 209,1,resource_type 8
1503,location 477,0,event_type 34,severity_type 2,feature 234,12,resource_type 2
1257,location 1045,0,event_type 11,severity_type 1,feature 56,1,resource_type 8
1759,location 769,0,event_type 11,severity_type 1,feature 54,1,resource_type 8
2281,location 1097,1,event_type 11,severity_type 2,feature 170,1,resource_type 8
13682,location 124,0,event_type 34,severity_type 2,feature 235,4,resource_type 2
9794,location 760,1,event_type 11,severity_type 1,feature 54,10,resource_type 8
3720,location 244,0,event_type 35,severity_type 2,feature 312,5,resource_type 2
9573,location 1086,0,event_type 15,severity_type 2,feature 82,19,resource_type 8
7221,location 489,0,event_type 35,severity_type 2,feature 232,12,resource_type 2
9756,location 498,0,event_type 34,severity_type 2,feature 312,1,resource_type 2
16300,location 527,0,event_type 35,severity_type 2,feature 233,1,resource_type 2
3153,location 798,2,event_type 15,severity_type 2,feature 82,19,resource_type 8
13611,location 763,2,event_type 15,severity_type 2,feature 82,8,resource_type 8
3889,location 373,0,event_type 34,severity_type 2,feature 312,36,resource_type 2
7018,location 159,0,event_type 34,severity_type 2,feature 227,1,resource_type 2
6882,location 122,0,event_type 35,severity_type 2,feature 313,4,resource_type 2
10364,location 1050,0,event_type 11,severity_type 2,feature 75,2,resource_type 8
2786,location 957,0,event_type 54,severity_type 4,feature 362,3,resource_type 2
11754,location 1100,2,event_type 11,severity_type 1,feature 203,7,resource_type 8
449,location 707,0,event_type 15,severity_type 1,feature 71,9,resource_type 8
2642,location 957,0,event_type 54,severity_type 1,feature 70,1,resource_type 2
